"model","mr_level_pct","statistic","true_value","n_seeds","mean_estimate","sd_estimate","mc_se","mean_bias","within_band","rhem_scale"
"REM",24,"reciprocity",0.1,28,0.0784904756797768,0.00976752196763522,0.00184588814655165,-0.0215095243202232,TRUE,NA
"REM",24,"same_group",0.4,28,0.284993025382998,0.0334977815425894,0.00633048567386151,-0.115006974617002,FALSE,NA
"RHEM",0,"difference_active",0.15,28,0.155309649580107,0.0422771099056482,0.00798962278292075,0.00530964958010674,TRUE,"raw"
"RHEM",0,"inertia",0.02,28,0.0338981772149249,0.0112021542058604,0.00211700815549307,0.0138981772149249,TRUE,"raw"
"RHEM",0,"otp",0.03,28,0.00104508871192269,0.000486503339172251,9.19404891037346e-05,-0.0289549112880773,TRUE,"raw"
"RHEM",0,"reciprocity",0.1,28,0.0952976210604959,0.0167539208179852,0.00316619342640405,-0.00470237893950409,TRUE,"raw"
"RHEM",0,"same_group",0.4,28,0.423293147606563,0.0664146658914437,0.0125511920968717,0.0232931476065634,TRUE,"raw"
"RHEM",2,"difference_active",0.15,28,0.154756000311898,0.0431494251115577,0.00815447486147051,0.00475600031189766,TRUE,"raw"
"RHEM",2,"inertia",0.02,28,0.0345423569630142,0.0109689996062743,0.00207294607781194,0.0145423569630142,TRUE,"raw"
"RHEM",2,"otp",0.03,28,0.000973260188075893,0.00047562543726659,8.9884758873125e-05,-0.0290267398119241,TRUE,"raw"
"RHEM",2,"reciprocity",0.1,28,0.0945547546393042,0.016359924650984,0.00309173514958991,-0.00544524536069582,TRUE,"raw"
"RHEM",2,"same_group",0.4,28,0.422099141513844,0.0661527815948122,0.0125017006167888,0.0220991415138444,TRUE,"raw"
"RHEM",8,"difference_active",0.15,28,0.155120334485509,0.0433155993541776,0.00818587884149028,0.00512033448550858,TRUE,"raw"
"RHEM",8,"inertia",0.02,28,0.0356444301712491,0.0106866051395654,0.00201957853991677,0.0156444301712491,TRUE,"raw"
"RHEM",8,"otp",0.03,28,0.000769230078317753,0.000438459431464846,8.2861043974768e-05,-0.0292307699216822,TRUE,"raw"
"RHEM",8,"reciprocity",0.1,28,0.0932754788472255,0.016450098256101,0.0031087763591586,-0.00672452115277447,TRUE,"raw"
"RHEM",8,"same_group",0.4,28,0.42818798777542,0.0669941978185274,0.0126607133365778,0.0281879877754196,TRUE,"raw"
"RHEM",16,"difference_active",0.15,28,0.161003925569632,0.0415677432179737,0.00785556507978214,0.0110039255696316,TRUE,"raw"
"RHEM",16,"inertia",0.02,28,0.036389213968694,0.0130184045957143,0.00246024721622002,0.016389213968694,TRUE,"raw"
"RHEM",16,"otp",0.03,28,0.000599303193459094,0.000432157410565649,8.16700739707389e-05,-0.0294006968065409,TRUE,"raw"
"RHEM",16,"reciprocity",0.1,28,0.0893625408156997,0.0151699489252085,0.00286685087554667,-0.0106374591843004,TRUE,"raw"
"RHEM",16,"same_group",0.4,28,0.428231741297422,0.0684313589609537,0.0129323112634911,0.0282317412974219,TRUE,"raw"
"RHEM",24,"difference_active",0.15,28,0.15630534383168,0.0407913989394182,0.00770884980172318,0.00630534383167961,TRUE,"raw"
"RHEM",24,"inertia",0.02,28,0.0383883197391528,0.010885494863146,0.00205716516469682,0.0183883197391528,TRUE,"raw"
"RHEM",24,"otp",0.03,28,0.000499942697634166,0.000411235014255051,7.77161127229261e-05,-0.0295000573023658,TRUE,"raw"
"RHEM",24,"reciprocity",0.1,28,0.0882942313659591,0.0132788118707352,0.00250945956545555,-0.0117057686340409,TRUE,"raw"
"RHEM",24,"same_group",0.4,28,0.434817156019757,0.0642898678090338,0.0121496430031372,0.0348171560197567,TRUE,"raw"
