"seed","mr_level_pct","tag","eventnet_secs"
20260446,0,"s20260446_mr00",2.2
20260449,24,"s20260449_mr24",16
20260446,2,"s20260446_mr02",2.59
20260450,0,"s20260450_mr00",2.08
20260450,2,"s20260450_mr02",2.5
20260446,8,"s20260446_mr08",4.56
20260450,8,"s20260450_mr08",4.24
20260446,16,"s20260446_mr16",7.8
20260450,16,"s20260450_mr16",8.47
20260446,24,"s20260446_mr24",14.37
20260450,24,"s20260450_mr24",13.34
20260451,0,"s20260451_mr00",2.54
20260451,2,"s20260451_mr02",2.41
20260451,8,"s20260451_mr08",3.24
20260451,16,"s20260451_mr16",7.77
20260451,24,"s20260451_mr24",12.94
20260448,0,"s20260448_mr00",2.5
20260452,0,"s20260452_mr00",2.18
20260448,2,"s20260448_mr02",2.26
20260452,2,"s20260452_mr02",2.94
20260448,8,"s20260448_mr08",3.83
20260452,8,"s20260452_mr08",3.55
20260448,16,"s20260448_mr16",8.39
20260452,16,"s20260452_mr16",8.7
20260448,24,"s20260448_mr24",12.76
20260452,24,"s20260452_mr24",13.2
20260423,12,"s20260423_mr12",5.59
20260424,12,"s20260424_mr12",5.26
20260425,12,"s20260425_mr12",5.49
20260426,12,"s20260426_mr12",4.63
20260427,12,"s20260427_mr12",5.51
20260428,12,"s20260428_mr12",5.62
20260429,12,"s20260429_mr12",5.18
20260430,12,"s20260430_mr12",6.15
20260432,12,"s20260432_mr12",5.68
20260433,12,"s20260433_mr12",6.04
20260434,12,"s20260434_mr12",6.48
20260435,12,"s20260435_mr12",6.59
20260436,12,"s20260436_mr12",6.36
20260437,12,"s20260437_mr12",4.93
20260438,12,"s20260438_mr12",5.09
20260439,12,"s20260439_mr12",5.41
20260440,12,"s20260440_mr12",6.35
20260442,12,"s20260442_mr12",6.68
20260445,12,"s20260445_mr12",5.94
20260446,12,"s20260446_mr12",6.69
20260447,12,"s20260447_mr12",6.59
20260448,12,"s20260448_mr12",6.58
20260449,12,"s20260449_mr12",6.14
20260450,12,"s20260450_mr12",6.39
20260451,12,"s20260451_mr12",6.73
20260452,12,"s20260452_mr12",6.61
