IS_OBSERVED,SOURCE,TARGET,TIME,TYPE,WEIGHT,EVENT_INTERVAL_ID,EVENT,INTEGER_TIME,TIME_POINT,TIME_UNIT,EVENT_INTERVAL,s.r.sub.rep.1,reciprocation,absdiff.active,catdiff.group,otp
0,|4|,|11|,1.081373,,0.0,,49,1081373,4,1378924,4,0,0,0.14179386,0,0
0,|4|,|6|,1.081373,,0.0,,49,1081373,4,1378924,4,0,0,0.16683826,1,0
0,|4|,|12|,1.081373,,0.0,,49,1081373,4,1378924,4,0,0,0.3974012,0,0
0,|4|,|7|,1.081373,,0.0,,49,1081373,4,1378924,4,0,0,0.43419382,0,0
0,|4|,|13|,1.081373,,0.0,,49,1081373,4,1378924,4,0,0,0.58186501,1,0
0,|4|,|8|,1.081373,,0.0,,49,1081373,4,1378924,4,0,0,0.44226179,1,0
0,|4|,|14|,1.081373,,0.0,,49,1081373,4,1378924,4,0,0,0.34246852,0,0
0,|4|,|9|,1.081373,,0.0,,49,1081373,4,1378924,4,0,0,0.10518521,0,0
0,|4|,|15|,1.081373,,0.0,,49,1081373,4,1378924,4,0,0,0.36711682,0,0
0,|4|,|16|,1.081373,,0.0,,49,1081373,4,1378924,4,0,0,1.46526578,0,0
0,|4|,|17|,1.081373,,0.0,,49,1081373,4,1378924,4,0,0,0.16445423,1,0
0,|4|,|1|,1.081373,,0.0,,49,1081373,4,1378924,4,0,0,1.46969836,1,0
1,|16|,|20|,1.52614,email,1,4,50,1526140,5,1823691,5,0,0,1.67267959,0,0
0,|16|,|12|,1.52614,,0.0,,50,1526140,5,1823691,5,0,0,1.86266697,0,0
0,|16|,|7|,1.52614,,0.0,,50,1526140,5,1823691,5,0,0,1.8994596,0,0
0,|16|,|13|,1.52614,,0.0,,50,1526140,5,1823691,5,0,0,0.88340077,1,0
0,|16|,|8|,1.52614,,0.0,,50,1526140,5,1823691,5,0,0,1.02300399,1,0
0,|16|,|14|,1.52614,,0.0,,50,1526140,5,1823691,5,0,0,1.8077343,0,0
0,|16|,|9|,1.52614,,0.0,,50,1526140,5,1823691,5,0,0,1.36008057,0,0
0,|16|,|15|,1.52614,,0.0,,50,1526140,5,1823691,5,0,0,1.8323826,0,0
0,|16|,|17|,1.52614,,0.0,,50,1526140,5,1823691,5,0,0,1.62972001,1,0
0,|16|,|1|,1.52614,,0.0,,50,1526140,5,1823691,5,0,0,2.93496414,1,0
0,|16|,|18|,1.52614,,0.0,,50,1526140,5,1823691,5,0,0,1.02763681,0,0
0,|16|,|2|,1.52614,,0.0,,50,1526140,5,1823691,5,0,0,1.28376499,1,0
0,|16|,|19|,1.52614,,0.0,,50,1526140,5,1823691,5,0,0,0.38038053,0,0
0,|16|,|3|,1.52614,,0.0,,50,1526140,5,1823691,5,0,0,1.5401175,0,0
0,|16|,|4|,1.52614,,0.0,,50,1526140,5,1823691,5,0,0,1.46526578,0,0
0,|16|,|10|,1.52614,,0.0,,50,1526140,5,1823691,5,0,0,0.38524809,0,0
0,|16|,|5|,1.52614,,0.0,,50,1526140,5,1823691,5,0,0,0.90671716,0,0
0,|16|,|11|,1.52614,,0.0,,50,1526140,5,1823691,5,0,0,1.32347192,0,0
0,|16|,|6|,1.52614,,0.0,,50,1526140,5,1823691,5,0,0,1.29842751,1,0
1,|8|,|7|,1.605054,email,1,5,51,1605054,6,1902605,6,0,0,0.87645561,1,0
0,|8|,|17|,1.605054,,0.0,,51,1605054,6,1902605,6,0,0,0.60671602,0,0
0,|8|,|1|,1.605054,,0.0,,51,1605054,6,1902605,6,0,0,1.91196015,0,0
0,|8|,|18|,1.605054,,0.0,,51,1605054,6,1902605,6,0,0,0.00463282,1,0
0,|8|,|2|,1.605054,,0.0,,51,1605054,6,1902605,6,0,0,0.26076101,0,0
0,|8|,|19|,1.605054,,0.0,,51,1605054,6,1902605,6,0,0,0.64262346,1,0
0,|8|,|3|,1.605054,,0.0,,51,1605054,6,1902605,6,0,0,0.51711351,1,0
0,|8|,|20|,1.605054,,0.0,,51,1605054,6,1902605,6,0,0,0.6496756,1,0
0,|8|,|4|,1.605054,,0.0,,51,1605054,6,1902605,6,0,0,0.44226179,1,0
0,|8|,|10|,1.605054,,0.0,,51,1605054,6,1902605,6,0,0,0.6377559,1,0
0,|8|,|5|,1.605054,,0.0,,51,1605054,6,1902605,6,0,0,0.11628683,1,0
0,|8|,|11|,1.605054,,0.0,,51,1605054,6,1902605,6,0,0,0.30046793,1,0
0,|8|,|6|,1.605054,,0.0,,51,1605054,6,1902605,6,0,0,0.27542353,0,0
0,|8|,|12|,1.605054,,0.0,,51,1605054,6,1902605,6,0,0,0.83966299,1,0
0,|8|,|13|,1.605054,,0.0,,51,1605054,6,1902605,6,0,0,0.13960322,0,0
0,|8|,|14|,1.605054,,0.0,,51,1605054,6,1902605,6,0,0,0.78473031,1,0
0,|8|,|9|,1.605054,,0.0,,51,1605054,6,1902605,6,0,0,0.33707658,1,0
0,|8|,|15|,1.605054,,0.0,,51,1605054,6,1902605,6,0,0,0.80937861,1,0
0,|8|,|16|,1.605054,,0.0,,51,1605054,6,1902605,6,0,0,1.02300399,1,0
1,|1|,|6|,1.936202,email,1,6,52,1936202,7,2233753,7,0,0,1.63653662,0,0
0,|1|,|19|,1.936202,,0.0,,52,1936202,7,2233753,7,0,0,2.55458361,1,0
0,|1|,|3|,1.936202,,0.0,,52,1936202,7,2233753,7,0,0,1.39484664,1,0
0,|1|,|20|,1.936202,,0.0,,52,1936202,7,2233753,7,0,0,1.26228455,1,0
0,|1|,|4|,1.936202,,0.0,,52,1936202,7,2233753,7,0,0,1.46969836,1,0
0,|1|,|10|,1.936202,,0.0,,52,1936202,7,2233753,7,0,0,2.54971605,1,0
0,|1|,|5|,1.936202,,0.0,,52,1936202,7,2233753,7,0,0,2.02824698,1,0
0,|1|,|11|,1.936202,,0.0,,52,1936202,7,2233753,7,0,0,1.61149222,1,0
0,|1|,|12|,1.936202,,0.0,,52,1936202,7,2233753,7,0,0,1.07229717,1,0
0,|1|,|7|,1.936202,,0.0,,52,1936202,7,2233753,7,0,0,1.03550454,1,0
0,|1|,|13|,1.936202,,0.0,,52,1936202,7,2233753,7,0,0,2.05156337,0,0
0,|1|,|8|,1.936202,,0.0,,52,1936202,7,2233753,7,0,0,1.91196015,0,0
0,|1|,|14|,1.936202,,0.0,,52,1936202,7,2233753,7,0,0,1.12722984,1,0
0,|1|,|9|,1.936202,,0.0,,52,1936202,7,2233753,7,0,0,1.57488357,1,0
0,|1|,|15|,1.936202,,0.0,,52,1936202,7,2233753,7,0,0,1.10258154,1,0
0,|1|,|16|,1.936202,,0.0,,52,1936202,7,2233753,7,0,0,2.93496414,1,0
0,|1|,|17|,1.936202,,0.0,,52,1936202,7,2233753,7,0,0,1.30524413,0,0
0,|1|,|18|,1.936202,,0.0,,52,1936202,7,2233753,7,0,0,1.90732733,1,0
0,|1|,|2|,1.936202,,0.0,,52,1936202,7,2233753,7,0,0,1.65119915,0,0
1,|17|,|18|,2.731159,email,1,7,53,2731159,8,3028710,8,0,0,0.6020832,1,0
0,|17|,|6|,2.731159,,0.0,,53,2731159,8,3028710,8,0,0,0.3312925,0,0
0,|17|,|12|,2.731159,,0.0,,53,2731159,8,3028710,8,0,0,0.23294696,1,0
0,|17|,|7|,2.731159,,0.0,,53,2731159,8,3028710,8,0,0,0.26973959,1,0
0,|17|,|13|,2.731159,,0.0,,53,2731159,8,3028710,8,0,0,0.74631925,0,0
0,|17|,|8|,2.731159,,0.0,,53,2731159,8,3028710,8,0,0,0.60671602,0,0
0,|17|,|14|,2.731159,,0.0,,53,2731159,8,3028710,8,0,0,0.17801428,1,0
0,|17|,|9|,2.731159,,0.0,,53,2731159,8,3028710,8,0,0,0.26963945,1,0
0,|17|,|15|,2.731159,,0.0,,53,2731159,8,3028710,8,0,0,0.20266259,1,0
0,|17|,|16|,2.731159,,0.0,,53,2731159,8,3028710,8,0,0,1.62972001,1,0
0,|17|,|1|,2.731159,,0.0,,53,2731159,8,3028710,8,0,0,1.30524413,0,0
0,|17|,|2|,2.731159,,0.0,,53,2731159,8,3028710,8,0,0,0.34595502,0,0
0,|17|,|19|,2.731159,,0.0,,53,2731159,8,3028710,8,0,0,1.24933948,1,0
0,|17|,|3|,2.731159,,0.0,,53,2731159,8,3028710,8,0,0,0.08960252,1,0
0,|17|,|20|,2.731159,,0.0,,53,2731159,8,3028710,8,0,0,0.04295958,1,0
0,|17|,|4|,2.731159,,0.0,,53,2731159,8,3028710,8,0,0,0.16445423,1,0
0,|17|,|10|,2.731159,,0.0,,53,2731159,8,3028710,8,0,0,1.24447193,1,0
0,|17|,|5|,2.731159,,0.0,,53,2731159,8,3028710,8,0,0,0.72300285,1,0
0,|17|,|11|,2.731159,,0.0,,53,2731159,8,3028710,8,0,0,0.30624809,1,0
1,|14|,|10|,3.121761,email,1,8,54,3121761,9,3419312,9,0,0,1.42248621,0,0
0,|14|,|7|,3.121761,,0.0,,54,3121761,9,3419312,9,0,0,0.0917253,0,0
0,|14|,|13|,3.121761,,0.0,,54,3121761,9,3419312,9,0,0,0.92433353,1,0
0,|14|,|8|,3.121761,,0.0,,54,3121761,9,3419312,9,0,0,0.78473031,1,0
0,|14|,|9|,3.121761,,0.0,,54,3121761,9,3419312,9,0,0,0.44765373,0,0
0,|14|,|15|,3.121761,,0.0,,54,3121761,9,3419312,9,0,0,0.0246483,0,0
0,|14|,|16|,3.121761,,0.0,,54,3121761,9,3419312,9,0,0,1.8077343,0,0
0,|14|,|17|,3.121761,,0.0,,54,3121761,9,3419312,9,0,0,0.17801428,1,0
0,|14|,|1|,3.121761,,0.0,,54,3121761,9,3419312,9,0,0,1.12722984,1,0
0,|14|,|18|,3.121761,,0.0,,54,3121761,9,3419312,9,0,0,0.78009749,0,0
0,|14|,|2|,3.121761,,0.0,,54,3121761,9,3419312,9,0,0,0.5239693,1,0
0,|14|,|19|,3.121761,,0.0,,54,3121761,9,3419312,9,0,0,1.42735377,0,0
0,|14|,|3|,3.121761,,0.0,,54,3121761,9,3419312,9,0,0,0.2676168,0,0
0,|14|,|20|,3.121761,,0.0,,54,3121761,9,3419312,9,0,0,0.13505471,0,0
0,|14|,|4|,3.121761,,0.0,,54,3121761,9,3419312,9,0,0,0.34246852,0,0
0,|14|,|5|,3.121761,,0.0,,54,3121761,9,3419312,9,0,0,0.90101714,0,0
0,|14|,|11|,3.121761,,0.0,,54,3121761,9,3419312,9,0,0,0.48426238,0,0
0,|14|,|6|,3.121761,,0.0,,54,3121761,9,3419312,9,0,0,0.50930678,1,0
0,|14|,|12|,3.121761,,0.0,,54,3121761,9,3419312,9,0,0,0.05493268,0,0
1,|19|,|17|,3.547254,email,1,9,55,3547254,10,3844805,10,0,0,1.24933948,1,0
0,|19|,|11|,3.547254,,0.0,,55,3547254,10,3844805,10,0,0,0.94309139,0,0
0,|19|,|6|,3.547254,,0.0,,55,3547254,10,3844805,10,0,0,0.91804699,1,0
0,|19|,|12|,3.547254,,0.0,,55,3547254,10,3844805,10,0,0,1.48228644,0,0
0,|19|,|7|,3.547254,,0.0,,55,3547254,10,3844805,10,0,0,1.51907907,0,0
0,|19|,|13|,3.547254,,0.0,,55,3547254,10,3844805,10,0,0,0.50302024,1,0
0,|19|,|8|,3.547254,,0.0,,55,3547254,10,3844805,10,0,0,0.64262346,1,0
0,|19|,|14|,3.547254,,0.0,,55,3547254,10,3844805,10,0,0,1.42735377,0,0
0,|19|,|9|,3.547254,,0.0,,55,3547254,10,3844805,10,0,0,0.97970004,0,0
0,|19|,|15|,3.547254,,0.0,,55,3547254,10,3844805,10,0,0,1.45200207,0,0
0,|19|,|16|,3.547254,,0.0,,55,3547254,10,3844805,10,0,0,0.38038053,0,0
0,|19|,|1|,3.547254,,0.0,,55,3547254,10,3844805,10,0,0,2.55458361,1,0
0,|19|,|18|,3.547254,,0.0,,55,3547254,10,3844805,10,0,0,0.64725628,0,0
0,|19|,|2|,3.547254,,0.0,,55,3547254,10,3844805,10,0,0,0.90338447,1,0
0,|19|,|3|,3.547254,,0.0,,55,3547254,10,3844805,10,0,0,1.15973697,0,0
0,|19|,|20|,3.547254,,0.0,,55,3547254,10,3844805,10,0,0,1.29229906,0,0
0,|19|,|4|,3.547254,,0.0,,55,3547254,10,3844805,10,0,0,1.08488525,0,0
0,|19|,|10|,3.547254,,0.0,,55,3547254,10,3844805,10,0,0,0.00486756,0,0
0,|19|,|5|,3.547254,,0.0,,55,3547254,10,3844805,10,0,0,0.52633663,0,0
1,|4|,|8|,3.641035,email,1,10,56,3641035,11,3938586,11,0,0,0.44226179,1,0
0,|4|,|18|,3.641035,,0.0,,56,3641035,11,3938586,11,0,0,0.43762897,0,0
0,|4|,|2|,3.641035,,0.0,,56,3641035,11,3938586,11,0,0,0.18150078,1,0
0,|4|,|19|,3.641035,,0.0,,56,3641035,11,3938586,11,0,0,1.08488525,0,0
0,|4|,|3|,3.641035,,0.0,,56,3641035,11,3938586,11,0,0,0.07485172,0,0
0,|4|,|20|,3.641035,,0.0,,56,3641035,11,3938586,11,1,0,0.20741381,0,0
0,|4|,|10|,3.641035,,0.0,,56,3641035,11,3938586,11,0,0,1.08001769,0,0
0,|4|,|5|,3.641035,,0.0,,56,3641035,11,3938586,11,0,0,0.55854862,0,0
0,|4|,|11|,3.641035,,0.0,,56,3641035,11,3938586,11,0,0,0.14179386,0,0
0,|4|,|6|,3.641035,,0.0,,56,3641035,11,3938586,11,0,0,0.16683826,1,0
0,|4|,|12|,3.641035,,0.0,,56,3641035,11,3938586,11,0,0,0.3974012,0,0
0,|4|,|7|,3.641035,,0.0,,56,3641035,11,3938586,11,0,0,0.43419382,0,0
0,|4|,|13|,3.641035,,0.0,,56,3641035,11,3938586,11,0,0,0.58186501,1,1
0,|4|,|14|,3.641035,,0.0,,56,3641035,11,3938586,11,0,0,0.34246852,0,0
0,|4|,|9|,3.641035,,0.0,,56,3641035,11,3938586,11,0,0,0.10518521,0,0
0,|4|,|15|,3.641035,,0.0,,56,3641035,11,3938586,11,0,0,0.36711682,0,0
0,|4|,|16|,3.641035,,0.0,,56,3641035,11,3938586,11,0,0,1.46526578,0,1
0,|4|,|17|,3.641035,,0.0,,56,3641035,11,3938586,11,0,0,0.16445423,1,0
0,|4|,|1|,3.641035,,0.0,,56,3641035,11,3938586,11,0,0,1.46969836,1,0
1,|18|,|16|,4.028152,email,1,11,57,4028152,12,4325703,12,0,0,1.02763681,0,0
0,|18|,|6|,4.028152,,0.0,,57,4028152,12,4325703,12,0,0,0.27079071,1,0
0,|18|,|12|,4.028152,,0.0,,57,4028152,12,4325703,12,0,0,0.83503017,0,0
0,|18|,|7|,4.028152,,0.0,,57,4028152,12,4325703,12,0,0,0.87182279,0,0
0,|18|,|13|,4.028152,,0.0,,57,4028152,12,4325703,12,0,0,0.14423604,1,0
0,|18|,|8|,4.028152,,0.0,,57,4028152,12,4325703,12,0,0,0.00463282,1,0
0,|18|,|14|,4.028152,,0.0,,57,4028152,12,4325703,12,0,0,0.78009749,0,0
0,|18|,|9|,4.028152,,0.0,,57,4028152,12,4325703,12,0,0,0.33244376,0,0
0,|18|,|15|,4.028152,,0.0,,57,4028152,12,4325703,12,0,0,0.80474579,0,0
0,|18|,|17|,4.028152,,0.0,,57,4028152,12,4325703,12,0,1,0.6020832,1,0
0,|18|,|1|,4.028152,,0.0,,57,4028152,12,4325703,12,0,0,1.90732733,1,0
0,|18|,|2|,4.028152,,0.0,,57,4028152,12,4325703,12,0,0,0.25612819,1,0
0,|18|,|19|,4.028152,,0.0,,57,4028152,12,4325703,12,0,0,0.64725628,0,0
0,|18|,|3|,4.028152,,0.0,,57,4028152,12,4325703,12,0,0,0.51248069,0,0
0,|18|,|20|,4.028152,,0.0,,57,4028152,12,4325703,12,0,0,0.64504278,0,0
0,|18|,|4|,4.028152,,0.0,,57,4028152,12,4325703,12,0,0,0.43762897,0,0
0,|18|,|10|,4.028152,,0.0,,57,4028152,12,4325703,12,0,0,0.64238872,0,0
0,|18|,|5|,4.028152,,0.0,,57,4028152,12,4325703,12,0,0,0.12091965,0,0
0,|18|,|11|,4.028152,,0.0,,57,4028152,12,4325703,12,0,0,0.29583511,0,0
1,|14|,|15|,4.067936,email,1,12,58,4067936,13,4365487,13,0,0,0.0246483,0,0
0,|14|,|7|,4.067936,,0.0,,58,4067936,13,4365487,13,0,0,0.0917253,0,0
0,|14|,|13|,4.067936,,0.0,,58,4067936,13,4365487,13,0,0,0.92433353,1,0
0,|14|,|8|,4.067936,,0.0,,58,4067936,13,4365487,13,0,0,0.78473031,1,0
0,|14|,|9|,4.067936,,0.0,,58,4067936,13,4365487,13,0,0,0.44765373,0,0
0,|14|,|16|,4.067936,,0.0,,58,4067936,13,4365487,13,0,0,1.8077343,0,0
0,|14|,|17|,4.067936,,0.0,,58,4067936,13,4365487,13,0,0,0.17801428,1,0
0,|14|,|1|,4.067936,,0.0,,58,4067936,13,4365487,13,0,0,1.12722984,1,0
0,|14|,|18|,4.067936,,0.0,,58,4067936,13,4365487,13,0,0,0.78009749,0,0
0,|14|,|2|,4.067936,,0.0,,58,4067936,13,4365487,13,0,0,0.5239693,1,0
0,|14|,|19|,4.067936,,0.0,,58,4067936,13,4365487,13,0,0,1.42735377,0,0
0,|14|,|3|,4.067936,,0.0,,58,4067936,13,4365487,13,0,0,0.2676168,0,0
0,|14|,|20|,4.067936,,0.0,,58,4067936,13,4365487,13,0,0,0.13505471,0,0
0,|14|,|4|,4.067936,,0.0,,58,4067936,13,4365487,13,0,0,0.34246852,0,0
0,|14|,|10|,4.067936,,0.0,,58,4067936,13,4365487,13,1,0,1.42248621,0,0
0,|14|,|5|,4.067936,,0.0,,58,4067936,13,4365487,13,0,0,0.90101714,0,0
0,|14|,|11|,4.067936,,0.0,,58,4067936,13,4365487,13,0,0,0.48426238,0,0
0,|14|,|6|,4.067936,,0.0,,58,4067936,13,4365487,13,0,0,0.50930678,1,0
0,|14|,|12|,4.067936,,0.0,,58,4067936,13,4365487,13,0,0,0.05493268,0,0
1,|9|,|17|,4.476923,email,1,13,59,4476923,14,4774474,14,0,0,0.26963945,1,0
0,|9|,|16|,4.476923,,0.0,,59,4476923,14,4774474,14,0,0,1.36008057,0,0
0,|9|,|1|,4.476923,,0.0,,59,4476923,14,4774474,14,0,0,1.57488357,1,0
0,|9|,|18|,4.476923,,0.0,,59,4476923,14,4774474,14,0,0,0.33244376,0,0
0,|9|,|2|,4.476923,,0.0,,59,4476923,14,4774474,14,0,0,0.07631557,1,0
0,|9|,|19|,4.476923,,0.0,,59,4476923,14,4774474,14,0,0,0.97970004,0,0
0,|9|,|3|,4.476923,,0.0,,59,4476923,14,4774474,14,0,0,0.18003693,0,0
0,|9|,|20|,4.476923,,0.0,,59,4476923,14,4774474,14,0,0,0.31259902,0,0
0,|9|,|4|,4.476923,,0.0,,59,4476923,14,4774474,14,0,0,0.10518521,0,0
0,|9|,|10|,4.476923,,0.0,,59,4476923,14,4774474,14,0,0,0.97483248,0,0
0,|9|,|5|,4.476923,,0.0,,59,4476923,14,4774474,14,0,0,0.45336341,0,0
0,|9|,|11|,4.476923,,0.0,,59,4476923,14,4774474,14,0,0,0.03660864,0,0
0,|9|,|6|,4.476923,,0.0,,59,4476923,14,4774474,14,0,0,0.06165305,1,0
0,|9|,|12|,4.476923,,0.0,,59,4476923,14,4774474,14,0,0,0.50258641,0,0
0,|9|,|7|,4.476923,,0.0,,59,4476923,14,4774474,14,0,0,0.53937903,0,0
0,|9|,|13|,4.476923,,0.0,,59,4476923,14,4774474,14,0,0,0.4766798,1,0
0,|9|,|8|,4.476923,,0.0,,59,4476923,14,4774474,14,0,0,0.33707658,1,0
0,|9|,|14|,4.476923,,0.0,,59,4476923,14,4774474,14,0,0,0.44765373,0,0
0,|9|,|15|,4.476923,,0.0,,59,4476923,14,4774474,14,0,0,0.47230203,0,0
1,|16|,|18|,4.923164,email,1,14,60,4923164,15,5220715,15,0,1,1.02763681,0,0
0,|16|,|12|,4.923164,,0.0,,60,4923164,15,5220715,15,0,0,1.86266697,0,0
0,|16|,|7|,4.923164,,0.0,,60,4923164,15,5220715,15,0,0,1.8994596,0,0
0,|16|,|13|,4.923164,,0.0,,60,4923164,15,5220715,15,0,0,0.88340077,1,1
0,|16|,|8|,4.923164,,0.0,,60,4923164,15,5220715,15,0,0,1.02300399,1,0
0,|16|,|14|,4.923164,,0.0,,60,4923164,15,5220715,15,0,0,1.8077343,0,0
0,|16|,|9|,4.923164,,0.0,,60,4923164,15,5220715,15,0,0,1.36008057,0,0
0,|16|,|15|,4.923164,,0.0,,60,4923164,15,5220715,15,0,0,1.8323826,0,0
0,|16|,|17|,4.923164,,0.0,,60,4923164,15,5220715,15,0,0,1.62972001,1,0
0,|16|,|1|,4.923164,,0.0,,60,4923164,15,5220715,15,0,0,2.93496414,1,0
0,|16|,|2|,4.923164,,0.0,,60,4923164,15,5220715,15,0,0,1.28376499,1,0
0,|16|,|19|,4.923164,,0.0,,60,4923164,15,5220715,15,0,0,0.38038053,0,0
0,|16|,|3|,4.923164,,0.0,,60,4923164,15,5220715,15,0,0,1.5401175,0,0
0,|16|,|20|,4.923164,,0.0,,60,4923164,15,5220715,15,1,0,1.67267959,0,0
0,|16|,|4|,4.923164,,0.0,,60,4923164,15,5220715,15,0,0,1.46526578,0,1
0,|16|,|10|,4.923164,,0.0,,60,4923164,15,5220715,15,0,0,0.38524809,0,0
0,|16|,|5|,4.923164,,0.0,,60,4923164,15,5220715,15,0,0,0.90671716,0,0
0,|16|,|11|,4.923164,,0.0,,60,4923164,15,5220715,15,0,0,1.32347192,0,0
0,|16|,|6|,4.923164,,0.0,,60,4923164,15,5220715,15,0,0,1.29842751,1,0
1,|12|,|4|,4.953258,email,1,15,61,4953258,16,5250809,16,0,0,0.3974012,0,0
0,|12|,|8|,4.953258,,0.0,,61,4953258,16,5250809,16,0,0,0.83966299,1,0
0,|12|,|14|,4.953258,,0.0,,61,4953258,16,5250809,16,0,0,0.05493268,0,0
0,|12|,|9|,4.953258,,0.0,,61,4953258,16,5250809,16,0,0,0.50258641,0,0
0,|12|,|15|,4.953258,,0.0,,61,4953258,16,5250809,16,0,0,0.03028437,0,0
0,|12|,|16|,4.953258,,0.0,,61,4953258,16,5250809,16,0,0,1.86266697,0,0
0,|12|,|17|,4.953258,,0.0,,61,4953258,16,5250809,16,0,0,0.23294696,1,0
0,|12|,|1|,4.953258,,0.0,,61,4953258,16,5250809,16,0,0,1.07229717,1,0
0,|12|,|18|,4.953258,,0.0,,61,4953258,16,5250809,16,0,0,0.83503017,0,0
0,|12|,|2|,4.953258,,0.0,,61,4953258,16,5250809,16,0,0,0.57890198,1,0
0,|12|,|19|,4.953258,,0.0,,61,4953258,16,5250809,16,0,0,1.48228644,0,0
0,|12|,|3|,4.953258,,0.0,,61,4953258,16,5250809,16,0,0,0.32254948,0,0
0,|12|,|20|,4.953258,,0.0,,61,4953258,16,5250809,16,0,0,0.18998739,0,0
0,|12|,|10|,4.953258,,0.0,,61,4953258,16,5250809,16,0,0,1.47741889,0,0
0,|12|,|5|,4.953258,,0.0,,61,4953258,16,5250809,16,0,0,0.95594982,0,0
